azimuth_deg,horizon_angle_deg,horizon_distance_m,horizon_elevation_m
26.1,6.859456352883912,2470.0,900.489990234375
26.200000000000003,6.93332296110206,2485.0,905.5499877929688
26.3,7.005151156254489,2500.0,910.5599975585938
26.400000000000002,7.068772486533651,2505.0,914.0
26.5,7.1433220365394865,2505.0,917.3099975585938
26.6,7.180547725289244,2495.0,917.7000122070312
26.700000000000003,7.2583978972574394,2510.0,923.0599975585938
26.8,7.278830325666956,2515.0,924.6099853515625
26.900000000000002,7.333294222242608,2515.0,927.0399780273438
27.0,7.371646014101457,2520.0,929.4000244140625
27.1,7.43819847343092,2535.0,934.3400268554688
27.200000000000003,7.492637212119711,2535.0,936.7899780273438
27.3,7.521920790028692,2540.0,938.77001953125
27.400000000000002,7.540320835656182,2540.0,939.5999755859375
27.5,7.557720871379946,2545.0,941.0499877929688
27.6,7.566127793970601,2545.0,941.4299926757812
27.700000000000003,7.55639350368809,2545.0,940.989990234375
27.8,7.561481477140385,2545.0,941.219970703125
27.900000000000002,7.560154132570349,2545.0,941.1599731445312
28.0,7.538398418082304,2550.0,940.8400268554688
28.1,7.5322780131712594,2545.0,939.9000244140625
28.200000000000003,7.507064841725125,2540.0,938.0999755859375
28.3,7.4853654463320165,2545.0,937.780029296875
28.400000000000002,7.478546863478524,2550.0,938.1300048828125
28.5,7.417574439853607,2550.0,935.3699951171875
28.6,7.400756472196921,2555.0,935.260009765625
28.700000000000003,7.36781699368564,2545.0,932.469970703125
28.8,7.333150520943866,2560.0,932.8400268554688
28.900000000000002,7.319587101477985,2555.0,931.5800170898438
29.0,7.30855634515476,2555.0,931.0800170898438
29.1,7.312233558126129,2560.0,931.8900146484375
29.200000000000003,7.345479387592105,2560.0,933.4000244140625
29.3,7.3798205737336335,2560.0,934.9600219726562
29.400000000000002,7.397227227026365,2555.0,935.0999755859375
29.5,7.418557007178369,2560.0,936.719970703125
29.6,7.44540587951037,2560.0,937.9400024414062
29.700000000000003,7.472470362253214,2560.0,939.1699829101562
29.8,7.499971919008115,2560.0,940.4199829101562
29.900000000000002,7.514519320518679,2555.0,940.4199829101562
30.0,7.543171023695336,2555.0,941.719970703125
30.1,7.577618155236619,2560.0,943.9500122070312
30.200000000000003,7.632591038581519,2560.0,946.4500122070312
30.3,7.683373368996051,2560.0,948.760009765625
30.400000000000002,7.710378874569573,2555.0,949.3099975585938
30.5,7.7645448152806695,2555.0,951.77001953125
30.6,7.795886499968972,2560.0,953.8800048828125
30.700000000000003,7.854755930336855,2560.0,956.5599975585938
30.8,7.870476951573288,2550.0,955.8900146484375
30.900000000000002,7.92409723821022,2555.0,959.02001953125
31.0,7.991402354935939,2555.0,962.0800170898438
31.1,8.019024097938068,2550.0,962.6300048828125
31.200000000000003,8.091055292077035,2550.0,965.9000244140625
31.3,8.183313998156203,2550.0,970.0900268554688
31.400000000000002,8.215309846555094,2545.0,970.8200073242188
31.5,8.301519222847904,2545.0,974.72998046875
31.6,8.332289726047579,2550.0,976.8599853515625
31.700000000000003,8.411682714504463,2550.0,980.469970703125
31.8,8.446513687388114,2545.0,981.3099975585938
31.900000000000002,8.502235449729628,2545.0,983.8400268554688
32.0,8.557059571048143,2545.0,986.3300170898438
32.1,8.581189965473964,2540.0,986.6699829101562
32.2,8.61316754795986,2540.0,988.1199951171875
32.300000000000004,8.614288483508824,2545.0,988.9299926757812
32.4,8.648715793602538,2535.0,988.969970703125
32.5,8.663878818578592,2540.0,990.4199829101562
32.6,8.690331858441223,2540.0,991.6199951171875
32.7,8.720689486092388,2530.0,991.4600219726562
32.800000000000004,8.75759296676572,2535.0,993.9000244140625
32.9,8.803508437528247,2535.0,995.97998046875
33.0,8.824081536715928,2540.0,997.6900024414062
33.1,8.876832991820882,2530.0,998.52001953125
33.2,8.905675784478921,2535.0,1000.6099853515625
33.300000000000004,8.944056313133872,2535.0,1002.3499755859375
33.4,8.95905491949072,2540.0,1003.8200073242188
33.5,8.987557197470219,2530.0,1003.530029296875
33.6,9.02277780864113,2535.0,1005.9199829101562
33.7,9.065321398490608,2535.0,1007.8499755859375
33.800000000000004,9.07325983354178,2530.0,1007.4099731445312
33.9,9.104264307844737,2540.0,1010.4199829101562
34.0,9.139364154957695,2535.0,1011.2100219726562
34.1,9.170425494771239,2535.0,1012.6199951171875
34.2,9.170425494771239,2535.0,1012.6199951171875
34.300000000000004,9.209021448635903,2530.0,1013.5599975585938
34.4,9.220422003748174,2535.0,1014.8900146484375
34.5,9.24310208444744,2535.0,1015.9199829101562
34.6,9.254551895669373,2535.0,1016.4400024414062
34.7,9.268254029911343,2540.0,1017.8800048828125
34.800000000000004,9.29461903932327,2540.0,1019.0800170898438
34.9,9.298784897196267,2545.0,1020.0900268554688
35.0,9.3369305091407,2545.0,1021.8300170898438
35.1,9.344700403685303,2540.0,1021.3599853515625
35.2,9.35937912777029,2550.0,1023.6799926757812
35.300000000000004,9.388872873135474,2545.0,1024.199951171875
35.4,9.42919175018273,2545.0,1026.0400390625
35.5,9.452504313786248,2540.0,1026.27001953125
35.6,9.509342032967968,2540.0,1028.8599853515625
35.7,9.532407549848461,2535.0,1029.0699462890625
